Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage,Projected Winner's Percentage Difference,Rank Difference,Away Team,Away Percentage,Home Team,Home Percentage,Game URL
false,16,Thursday,Kansas City Chiefs,2,58.1,16.5,4,Houston Texans,41.6,Kansas City Chiefs,58.1,https://www.espn.com/nfl/game/_/gameId/401671780/texans-chiefs
false,16,Friday,Detroit Lions,3,57.9,16.2,18,Detroit Lions,57.9,Chicago Bears,41.7,https://www.espn.com/nfl/game/_/gameId/401671868/lions-bears
false,16,Friday,Indianapolis Colts,19,57.4,15.2,6,Tennessee Titans,42.2,Indianapolis Colts,57.4,https://www.espn.com/nfl/game/_/gameId/401671862/titans-colts
false,16,Tuesday,Cincinnati Bengals,11,57.4,15.1,11,Cleveland Browns,42.3,Cincinnati Bengals,57.4,https://www.espn.com/nfl/game/_/gameId/401671811/browns-bengals
false,16,Friday,Jacksonville Jaguars,13,55,10.4,14,Jacksonville Jaguars,55,Las Vegas Raiders,44.6,https://www.espn.com/nfl/game/_/gameId/401671673/jaguars-raiders
false,16,Friday,New York Jets,10,54.4,9.1,1,Los Angeles Rams,45.3,New York Jets,54.4,https://www.espn.com/nfl/game/_/gameId/401671621/rams-jets
false,16,Friday,Seattle Seahawks,18,52,4.4,3,Minnesota Vikings,47.6,Seattle Seahawks,52,https://www.espn.com/nfl/game/_/gameId/401671759/vikings-seahawks
false,17,Friday,Tampa Bay Buccaneers,12,70.2,40.7,20,Carolina Panthers,29.5,Tampa Bay Buccaneers,70.2,https://www.espn.com/nfl/game/_/gameId/401671653/panthers-buccaneers
false,17,Friday,Cincinnati Bengals,11,69.1,38.4,19,Denver Broncos,30.7,Cincinnati Bengals,69.1,https://www.espn.com/nfl/game/_/gameId/401671835/broncos-bengals
false,17,Friday,Cleveland Browns,22,62.2,24.7,7,Miami Dolphins,37.5,Cleveland Browns,62.2,https://www.espn.com/nfl/game/_/gameId/401671877/dolphins-browns
false,17,Friday,New Orleans Saints,14,59.9,20.1,13,Las Vegas Raiders,39.8,New Orleans Saints,59.9,https://www.espn.com/nfl/game/_/gameId/401671738/raiders-saints
false,17,Friday,Buffalo Bills,4,59.5,19.3,6,New York Jets,40.2,Buffalo Bills,59.5,https://www.espn.com/nfl/game/_/gameId/401671495/jets-bills
false,17,Monday,Kansas City Chiefs,2,59.4,19.1,21,Kansas City Chiefs,59.4,Pittsburgh Steelers,40.3,https://www.espn.com/nfl/game/_/gameId/401671799/chiefs-steelers
false,17,Friday,Jacksonville Jaguars,13,58.7,17.7,12,Tennessee Titans,41,Jacksonville Jaguars,58.7,https://www.espn.com/nfl/game/_/gameId/401671634/titans-jaguars
