Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage Difference,Rank Difference,Projected Winner Futures Difference,Away Team,Away Rank,Away Percentage,Away Futures NJ,Away-Home Futures NJ difference,Home Team,Home Rank,Home Percentage,Home Futures NJ,Home-Away Futures NJ difference,Game URL
true,2,,Los Angeles Rams,12,,11,14500,San Francisco 49ers,2,NaN,500,-14500,Los Angeles Rams,20,NaN,15000,14500,https://www.espn.com/nfl/game?gameId=401547422
true,2,,Arizona Cardinals,29,,3,0,New York Giants,29,NaN,100000,0,Arizona Cardinals,30,NaN,100000,0,https://www.espn.com/nfl/game?gameId=401547421
true,2,,Dallas Cowboys,4,,21,-9000,New York Jets,16,NaN,10000,9000,Dallas Cowboys,4,NaN,1000,-9000,https://www.espn.com/nfl/game?gameId=401547415
true,2,,Denver Broncos,23,,4,-10000,Washington Commanders,25,NaN,25000,10000,Denver Broncos,18,NaN,15000,-10000,https://www.espn.com/nfl/game?gameId=401547416
true,2,,New England Patriots,24,,18,99000,Miami Dolphins,6,NaN,1000,-99000,New England Patriots,28,NaN,100000,99000,https://www.espn.com/nfl/game?gameId=401547423
true,2,,Carolina Panthers,31,,15,94000,New Orleans Saints,14,NaN,6000,-94000,Carolina Panthers,31,NaN,100000,94000,https://www.espn.com/nfl/game?gameId=401547425
true,2,,Pittsburgh Steelers,17,,3,0,Cleveland Browns,11,NaN,5000,0,Pittsburgh Steelers,12,NaN,5000,0,https://www.espn.com/nfl/game?gameId=401547424
true,3,,San Francisco 49ers,1,,31,-99500,New York Giants,29,NaN,100000,99500,San Francisco 49ers,2,NaN,500,-99500,https://www.espn.com/nfl/game?gameId=401547426
true,3,,Cleveland Browns,14,,14,-35000,Tennessee Titans,26,NaN,40000,35000,Cleveland Browns,11,NaN,5000,-35000,https://www.espn.com/nfl/game?gameId=401547428
true,3,,Detroit Lions,10,,12,-19000,Atlanta Falcons,22,NaN,20000,19000,Detroit Lions,5,NaN,1000,-19000,https://www.espn.com/nfl/game?gameId=401547433
true,3,,Green Bay Packers,20,,4,9000,New Orleans Saints,14,NaN,6000,-9000,Green Bay Packers,19,NaN,15000,9000,https://www.espn.com/nfl/game?gameId=401547434
true,3,,Miami Dolphins,6,,17,-14000,Denver Broncos,18,NaN,15000,14000,Miami Dolphins,6,NaN,1000,-14000,https://www.espn.com/nfl/game?gameId=401547429
